edad			media:4.316052946776819		std:2.751172020615168
tipo de trabajo		media:0.6391695586744879	std:1.4762807680175354
nivel de educación	media:3.403089585700685		std:3.4616380736042753
grado de educación	media:10.0806793403151		std:2.5726808256012865
estatus marital		media:1.0774853352169773	std:1.1855251460469205
ocupación		media:4.410613924633764		std:3.1787936915575807
situación sentimental	media:2.380854396363748		std:1.237449194229024
raza			media:0.45975246460489544	std:1.2119140959975923
sexo			media:0.6692054912318418	std:0.47049920482078517
ganancias de capital	media:1077.6488437087312	std:7385.178676947626
pérdidas de capital	media:87.303829734959		std:402.9540308274866
horas trabajo semanal	media:40.437455852092995	std:12.34723907570799
país de origen		media:1.4624857958907895	std:5.58304310131791
sueldo			media:0.2408095574460244	std:0.4275749226611335
